id,title,author,isbn,parent_genre,genre,sub_genre,price,pages,publisher,year,description
215,HARRY POTTER AND THE ORDER OF THE PHOENIX - 5,J.K. Rowling,9786093204892,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,6.72,613,Simon & Schuster,2003,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
216,Anxious People,Fredrik Backman,9782353693780,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",3.96,979,Macmillan Publishers,1950,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
217,Anxious People,Fredrik Backman,9787725228728,Fiction,Literature & Fiction,Humour,3.96,332,Random House,2001,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
218,"Anxious People: The No. 1 New York Times bestseller, now a Netflix TV Series",Fredrik Backman,9780100623120,Fiction,Literature & Fiction,Humour,2.4,965,Macmillan Publishers,1957,"Narración brillante que combina suspense, emoción y reflexión filosófica."
219,Icebreaker,HANNAH GRACE,9787509977004,Lifestyle & Leisure,Sports,Winter Sports,3.41,379,Vintage Books,2002,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
220,Beach Read,EMILY HENRY,9780084840860,Fiction,Romance,Holidays,3.08,124,HarperCollins,1995,"Narración brillante que combina suspense, emoción y reflexión filosófica."
221,"Catching Fire (Hunger Games Trilogy, Book 2)",Suzanne Collins,9788233984544,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,3.33,458,Random House,1967,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
222,"Too Late: The darkest thriller of the year, from the global bestseller: A dark and twisty thriller from the author of global phenomenon VERITY",Colleen Hoover,9786793341016,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,3.67,370,Scholastic,2008,"Narración brillante que combina suspense, emoción y reflexión filosófica."
223,The Serpent and the Wings of Night (Crowns of Nyaxia Book 1),Carissa Broadbent,9788700217654,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,4.58,572,Vintage Books,1985,"Narración brillante que combina suspense, emoción y reflexión filosófica."
224,Things We Left Behind: the heart-pounding new book from the bestselling author of Things We Never Got Over (Knockemout Series),Lucy Score,9780339740142,Fiction,Romance,Western & Frontier,4.28,429,Bloomsbury Publishing,1952,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
225,The Psychology of Money,Morgan Housel,9782503926142,Business & Law,Business & Economics,Analysis & Strategy,3.02,1127,Oxford University Press,1975,"Narración brillante que combina suspense, emoción y reflexión filosófica."
226,The Psychology of Money,Morgan Housel,9789685621859,Business & Law,Business & Economics,Analysis & Strategy,1.92,1199,Vintage Books,1976,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
227,The Psychology of Money,Morgan Housel,9783159996505,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,3.02,490,Vintage Books,1982,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
228,The Psychology of Money – Deluxe Edition,Morgan Housel,9783586629616,Business & Law,Business & Economics,Analysis & Strategy,4.39,1055,Vintage Books,1987,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
229,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,9781142626554,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,7.35,1063,Macmillan Publishers,1997,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
230,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,9784754121265,Business & Law,Business & Economics,Analysis & Strategy,7.35,673,Vintage Books,1953,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
231,Shoe Dog,Phil Knight,9788610158197,Business & Law,Business & Economics,Analysis & Strategy,3.53,672,Hachette Livre,1991,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
232,Shoe Dog,Phil Knight,9780466183983,Non-Fiction,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,3.53,284,Simon & Schuster,2004,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
233,Shoe Dog,Phil Knight,9782444721264,Business & Law,Business & Economics,Industries,3.53,1089,Random House,1998,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
234,Shoe Dog,Phil Knight,9787154379932,Non-Fiction,History,Biographies & Autobiographies,3.53,832,Penguin Books,1991,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
235,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,9784065965754,Non-Fiction,Religion,New Age & Spirituality,7.72,643,Simon & Schuster,2021,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
236,"The Life-Changing Magic of Tidying: A simple, effective way to banish clutter forever",Marie Kondo,9784593752650,Lifestyle & Leisure,"Crafts, Home & Lifestyle",Home & House Maintenance,2.92,881,Simon & Schuster,2021,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
237,The Covenant of Water: An Oprah's Book Club Selection,Abraham Verghese,9783564651931,Fiction,Literature & Fiction,"Myths, Legends & Sagas",5.74,870,HarperCollins,1975,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
238,The Takeover (The Miles High Club Book 2),T L Swan,9788073741672,Fiction,Romance,New Adult & College,1.42,299,Vintage Books,1977,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
239,The Takeover (The Miles High Club Book 2),T L Swan,9784266179795,Fiction,Romance,Workplace Romance,1.42,1030,Random House,2014,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
240,The Perfect Son: A gripping psychological thriller with a breathtaking twist,Freida McFadden,9786805891139,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,3.64,933,Random House,2006,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
241,"THE LOVE HYPOTHESIS: The Tiktok sensation and romcom of the year! [Paperback] Hazelwood, Ali",Ali Hazelwood,9780965610145,Fiction,Romance,Science Fiction,2.64,950,Random House,1985,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
242,The Casanova (The Miles High Club Book 3),T L Swan,9788993756798,Fiction,Romance,Workplace Romance,1.42,383,Hachette Livre,1963,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
243,The Casanova (The Miles High Club Book 3),T L Swan,9780714611257,Fiction,Romance,New Adult & College,1.42,137,Penguin Books,1959,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
244,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,9783875717751,Lifestyle & Leisure,"Health, Family & Personal Development",Self-Help,6.76,660,Oxford University Press,1981,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
245,Ikigai,Francesc Miralles,9781051238283,Lifestyle & Leisure,"Health, Family & Personal Development",Self-Help,4.05,1016,HarperCollins,1970,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
246,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,9786736226609,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,6.76,326,Penguin Books,1991,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
247,Ikigai,Francesc Miralles,9789660334192,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,4.05,877,Random House,2011,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
248,Ikigai,Francesc Miralles,9785537147857,Non-Fiction,Religion,New Age & Spirituality,4.05,102,Scholastic,2010,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
249,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,9786915579247,Non-Fiction,Religion,New Age & Spirituality,6.76,700,Hachette Livre,1955,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
250,People We Meet On Vacation,none,9782513412529,Fiction,Romance,Holidays,3.67,149,Bloomsbury Publishing,1999,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
251,Percy Jackson and the Lightning Thief (Book 1),Rick Riordan,9789296627826,Children & Young Adult,Children's Books,"Fairy Tales, Folk Tales & Myths",3.17,990,Hachette Livre,2012,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
252,Percy Jackson and the Lightning Thief (Book 1),Rick Riordan,9784225790502,Children & Young Adult,Children's Books,Fantasy,3.17,167,Oxford University Press,1981,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
253,Percy Jackson and the Lightning Thief (Book 1),Rick Riordan,9786887676776,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",3.17,806,Macmillan Publishers,1985,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
254,Percy Jackson and the Lightning Thief (Book 1),Rick Riordan,9780340438421,Children & Young Adult,Children's Books,Mysteries & Curiosities,3.17,365,Scholastic,1998,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
255,Corrupt (Devil's Night Book 1),Penelope Douglas,9788819148585,Fiction,Romance,New Adult & College,3.65,1038,HarperCollins,1957,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
256,The Kite Runner,Khaled Hosseini,9783613407458,Lifestyle & Leisure,"Arts, Film & Photography",Cinema & Broadcast,1.93,1018,Simon & Schuster,1962,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
257,"A Good Girl's Guide to Murder: TikTok made me buy it! The first book in the bestselling thriller trilogy, soon to be a major TV series starring Emma Myers ... (A Good Girl’s Guide to Murder, Book 1)",Holly Jackson,9783395962924,Children & Young Adult,Teen & Young Adult,Romance,3.59,647,Scholastic,1957,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
258,The Good Girl's Guide to Murder: Book 1 (A Good Girl?s Guide to Murder) (A Good Girl?s Guide to Murder),Holly Jackson,9789584982549,Fiction,Literature & Fiction,Classic Fiction,3.67,98,Bloomsbury Publishing,1993,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
259,Bridgerton: The Duke and I (Bridgertons Book 1),Julia Quinn,9788126042236,Fiction,Romance,Holidays,3.54,404,Bloomsbury Publishing,1985,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
260,The House in the Cerulean Sea: TikTok made me buy it!,Travis Klune,9786729466711,Fiction,Romance,Paranormal,4.05,812,Bloomsbury Publishing,2018,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
261,The House in the Cerulean Sea: TikTok made me buy it!,Travis Klune,9784577590171,Fiction,Romance,Clean & Wholesome,4.05,1105,Hachette Livre,1997,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
262,Dog Man 9: Grime and Punishment,Dav Pilkey,9786363745450,Children & Young Adult,Teen & Young Adult,Social & Family Issues,4.89,1110,Oxford University Press,2006,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
263,A Thousand Splendid Suns,Khaled Hosseini,9789750017010,Non-Fiction,Society & Social Sciences,Society & Culture,4.39,511,Macmillan Publishers,1986,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
264,"Flawless: The must-read, small-town romance and TikTok bestseller! (Chestnut Springs)",Elsie Silver,9780632424153,Fiction,Romance,Western & Frontier,5.1,794,Scholastic,1964,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
265,"Flawless: The must-read, small-town romance and TikTok bestseller! (Chestnut Springs Book 1)",Elsie Silver,9782064361106,Fiction,Romance,Western & Frontier,2.66,1155,Oxford University Press,2010,"Narración brillante que combina suspense, emoción y reflexión filosófica."
266,"Flawless: The must-read, small-town romance and TikTok bestseller! (Chestnut Springs Book 1)",Elsie Silver,9782938700510,Fiction,Romance,Small Town Romance,2.66,879,Scholastic,1967,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
267,"Flawless: The must-read, small-town romance and TikTok bestseller! (Chestnut Springs Book 1)",Elsie Silver,9781361115545,Fiction,Romance,Enemies to Lovers,2.66,1130,HarperCollins,1959,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
268,"Flawless: The must-read, small-town romance and TikTok bestseller! (Chestnut Springs Book 1)",Elsie Silver,9782189092756,Fiction,Romance,Alpha Male,2.66,208,Vintage Books,1991,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
269,"The Intelligent Investor, Rev. Ed: The Definitive Book on Value Investing",Benjamin Graham,9789731121967,Business & Law,Business & Economics,Analysis & Strategy,3.11,437,Simon & Schuster,2002,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
270,The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,9782341389996,Business & Law,Business & Economics,Economics,6.39,390,Random House,1969,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
271,The Intelligent Investor Rev Ed.,Benjamin Graham,9783898364032,Business & Law,Business & Economics,Analysis & Strategy,24.13,800,Macmillan Publishers,1969,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
272,The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,9783791805529,Business & Law,Business & Economics,Analysis & Strategy,6.39,774,Random House,1988,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
273,Lord of the Flies,William Golding,9785827109100,Children & Young Adult,Children's Books,Crime & Thriller,2.85,1021,Bloomsbury Publishing,2023,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
274,Goodnight Moon,Margaret Wise Brown,9780684866612,Children & Young Adult,Children's Books,Animals & Pets,2.97,366,Scholastic,1975,"Narración brillante que combina suspense, emoción y reflexión filosófica."
275,Lord of the Flies,William Golding,9782414183283,Children & Young Adult,Teen & Young Adult,Social & Family Issues,2.85,650,Hachette Livre,2021,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
276,"Heartless: The must-read, small-town romance and TikTok bestseller! (Chestnut Springs Book 2)",Elsie Silver,9781463031616,Fiction,Romance,Alpha Male,2.6,700,Hachette Livre,1961,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
277,"Heartless: The must-read, small-town romance and TikTok bestseller! (Chestnut Springs Book 2)",Elsie Silver,9780421020277,Fiction,Romance,Western & Frontier,2.6,886,Macmillan Publishers,2006,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
278,"Red Notice : A True Story of Corruption, Murder and how I became Putin’s no. 1 enemy",Bill Browder,9784252410568,Non-Fiction,Politics,Freedom & Security,4.47,219,HarperCollins,1981,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
279,"Red Notice : A True Story of Corruption, Murder and how I became Putin’s no. 1 enemy",Bill Browder,9784917785070,Non-Fiction,Politics,International Relations & Globalization,4.47,1070,Scholastic,1991,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
280,The Echo of Old Books: A Novel,Barbara Davis,9782419138007,Fiction,Romance,Later in Life,1.42,851,Bloomsbury Publishing,2023,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
281,The Sweetest Oblivion (Made Book 1),Danielle Lori,9787562208639,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",3.21,1046,Oxford University Press,2019,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
282,"Night Circus, The",Erin Morgenstern,9785419518020,Fiction,Romance,Paranormal,3.73,449,Random House,1983,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
283,"Night Circus, The",Erin Morgenstern,9786174451877,Fiction,"Fantasy, Horror & Science Fiction",Horror,3.73,1118,Penguin Books,2021,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
284,THE SHINING (REISSUE),Stephen King,9784949375979,Fiction,"Fantasy, Horror & Science Fiction",Horror,4.07,1156,Oxford University Press,2017,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
285,"Caste: The International Bestseller [Paperback] Wilkerson, Isabel",Isabel Wilkerson,9782060385057,Non-Fiction,Politics,Political Ideologies,6.13,610,Hachette Livre,1987,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
286,The Blood of Olympus (Heroes of Olympus Book 5),Rick Riordan,9781383670244,Children & Young Adult,Children's Books,Fantasy,3.08,345,Oxford University Press,1952,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
287,Maybe You Should Talk To Someone,Lori Gottlieb,9788657191827,Education,Higher Education Textbooks,Social Sciences,5.25,743,Bloomsbury Publishing,1967,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
288,Does It Hurt?: An Enemies to Lovers Romance,H. D. Carlton,9789062344568,Fiction,Romance,Enemies to Lovers,4.55,792,Simon & Schuster,1958,"Narración brillante que combina suspense, emoción y reflexión filosófica."
289,"Divine Rivals: The stunning YA romance fantasy Sunday Times number 1 bestseller (Letters of Enchantment, Book 1)",Rebecca Ross,9784313291216,Fiction,Romance,Clean & Wholesome,5.39,906,Vintage Books,1990,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
290,Divine Rivals: The stunning YA romance fantasy Sunday Times number 1 bestseller: Book 1 (Letters of Enchantment),Rebecca Ross,9785618537476,Fiction,Romance,Clean & Wholesome,5.53,218,Scholastic,1996,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
291,The Cruel Prince (The Folk of the Air),Holly Black,9782490352136,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",3.42,172,Simon & Schuster,2007,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
292,The Cruel Prince (The Folk of the Air),Holly Black,9780442067880,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,3.42,140,Bloomsbury Publishing,1977,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
293,The Cruel Prince (The Folk of the Air),Holly Black,9781210032363,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,3.56,405,Oxford University Press,1973,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
294,The Cruel Prince (The Folk of the Air),Holly Black,9789410137218,Children & Young Adult,Teen & Young Adult,Social & Family Issues,3.56,554,Random House,1991,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
295,The Cruel Prince (The Folk of the Air),Holly Black,9787029667062,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,3.42,277,Penguin Books,2009,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
296,One Of Us Is Lying,Karen McManus,9783244720994,Children & Young Adult,Teen & Young Adult,Romance,2.66,297,Simon & Schuster,1979,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
297,One Of Us Is Lying,Karen McManus,9787687014624,Children & Young Adult,Children's Books,Mysteries & Curiosities,2.66,1102,Hachette Livre,2008,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
298,One Of Us Is Lying,Karen McManus,9783806578755,Children & Young Adult,Children's Books,Growing Up & Facts of Life,2.66,1055,Oxford University Press,1996,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
299,One Of Us Is Lying,Karen McManus,9786420593040,Children & Young Adult,Children's Books,Crime & Thriller,2.66,742,Scholastic,1992,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
300,The Spanish Love Deception: TikTok made me buy it! The Goodreads Choice Awards Debut of the Year,Elena Armas,9785932133486,Fiction,Romance,Clean & Wholesome,2.66,554,Simon & Schuster,1975,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
301,The Spanish Love Deception: TikTok made me buy it! The Goodreads Choice Awards Debut of the Year,Elena Armas,9786522395590,Fiction,Romance,Multicultural & Interracial,2.66,564,Penguin Books,1983,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
302,Never Split the Difference : Negotiating as if Your Life Depended on It,Chris Voss,9789293784278,Business & Law,Business & Economics,Analysis & Strategy,3.58,295,Vintage Books,1982,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
303,SHADOW AND BONE (B PB) : THE GRISHA BOOK 1,Leigh Bardugo,9783930870598,Children & Young Adult,Children's Books,Historical Fiction,4.54,436,Macmillan Publishers,1952,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
304,The Three-Body Problem: Soon to be a major Netflix series: 1,Cixin Liu,9782500292180,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",4.5,866,Oxford University Press,1967,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
305,"One, The: Now a major Netflix series!",John Marrs,9786915452266,Fiction,Romance,Science Fiction,3.05,940,HarperCollins,1965,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
306,"Old Man and the Sea, The (L)",Ernest Hemingway,9788953926446,Children & Young Adult,Children's Books,Mysteries & Curiosities,1.07,211,Oxford University Press,2002,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
307,SECRET,BYRNE RHONDA,9789690295931,Non-Fiction,Religion,New Age & Spirituality,8.15,206,Macmillan Publishers,2004,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
308,The Summer I Turned Pretty : TV Tie-in,Jenny Han,9782513552150,Children & Young Adult,Teen & Young Adult,Social & Family Issues,3.18,592,Scholastic,2000,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
309,The Summer I Turned Pretty : TV Tie-in,Jenny Han,9783315410066,Children & Young Adult,Teen & Young Adult,Romance,3.18,314,Penguin Books,2012,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
310,They Both Die at the End,Adam Silvera,9786765861793,Children & Young Adult,Children's Books,Humour,2.85,156,Vintage Books,1956,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
311,They Both Die at the End,Adam Silvera,9781040541151,Children & Young Adult,Children's Books,Computers & Technology,2.85,229,Macmillan Publishers,2017,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
312,House of Flame and Shadow: The INTERNATIONAL BESTSELLER and the SMOULDERING third instalment in the Crescent City series,Sarah J. Maas,9781815997067,Fiction,Romance,Paranormal,3.46,984,Penguin Books,1957,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
313,The Do-Over (The Miles High Club Book 4),T L Swan,9782015336884,Fiction,Romance,New Adult & College,1.42,846,Macmillan Publishers,2015,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
314,The Do-Over (The Miles High Club Book 4),T L Swan,9783106987207,Fiction,Romance,Workplace Romance,1.42,140,Hachette Livre,1997,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
315,Secret History,Donna Tartt,9781497310326,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,5.17,436,Bloomsbury Publishing,1952,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
316,The Queen of Nothing (The Folk of the Air #3),Holly Black,9781467741861,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,3.5,737,Penguin Books,2022,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
317,A Christmas Carol by Charles Dickens - A Timeless Holiday Classic | Love and Compassion | A Gripping Story of Redemption and Forgiveness | Victorian England | A Masterpiece on Generosity and Empathy | Classic Literature,Charles Dickens,9785270477434,Fiction,Literature & Fiction,Humour,1.01,300,Macmillan Publishers,2005,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
318,Six of Crows: Crooked Kingdom,Leigh Bardugo,9782115869387,Children & Young Adult,Teen & Young Adult,Romance,4.27,1000,Macmillan Publishers,1954,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
319,Six of Crows: Crooked Kingdom,Leigh Bardugo,9786879374164,Children & Young Adult,Children's Books,Fantasy,4.27,853,Penguin Books,2014,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
320,Six of Crows: Crooked Kingdom,Leigh Bardugo,9788992172236,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,4.27,352,Vintage Books,1991,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
321,Diary of a Wimpy Kid: Wrecking Ball (Book 14),Jeff Kinney,9786163294514,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",2.5,489,Penguin Books,2018,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
322,Diary of a Wimpy Kid: Wrecking Ball (Book 14),Jeff Kinney,9786854870995,Children & Young Adult,Children's Books,Literature & Fiction,2.5,480,Hachette Livre,2012,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
323,Diary of a Wimpy Kid: Wrecking Ball (Book 14),Jeff Kinney,9786229991199,Children & Young Adult,Children's Books,Comics & Graphic Novels,2.5,597,Vintage Books,1986,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
324,Diary of a Wimpy Kid: Wrecking Ball (Book 14),Jeff Kinney,9785646799703,Children & Young Adult,Children's Books,Growing Up & Facts of Life,2.5,1085,Hachette Livre,2023,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
325,Diary of a Wimpy Kid: Wrecking Ball (Book 14),Jeff Kinney,9782996065302,Children & Young Adult,Children's Books,Humour,2.5,976,Hachette Livre,1992,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
326,12 years a slave : A true story (Fingerprint),Solomon Northup,9780544471328,Non-Fiction,"Biographies, Diaries & True Accounts",True Accounts,1.51,665,Random House,1958,"Narración brillante que combina suspense, emoción y reflexión filosófica."
327,"Right Man, Right Time",Meghan Quinn,9784691373675,Fiction,Romance,Sports,4.55,541,Hachette Livre,1959,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
328,Six of Crows (Collectors Edition),BARDUGO LEIGH,9788214862891,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,7.68,492,Scholastic,2022,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
329,SIX OF CROWS,Leigh Bardugo,9783030705343,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,4.28,411,HarperCollins,1961,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
330,SIX OF CROWS,Leigh Bardugo,9786103579720,Fiction,Romance,Fantasy,4.28,968,Penguin Books,2021,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
331,Six of Crows (Collectors Edition),BARDUGO LEIGH,9785524140601,Children & Young Adult,Teen & Young Adult,Romance,7.68,1162,Oxford University Press,1964,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
332,The Diary of A Young Girl,Anne Frank,9783334680071,Non-Fiction,"Biographies, Diaries & True Accounts",True Accounts,1.31,473,Penguin Books,2018,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
333,The Diary of A Young Girl,Anne Frank,9780349446651,Non-Fiction,"Biographies, Diaries & True Accounts",Biographies & Autobiographies,1.31,256,Vintage Books,1970,"Narración brillante que combina suspense, emoción y reflexión filosófica."
334,The Diary of A Young Girl,Anne Frank,9787489691084,Non-Fiction,History,Biographies & Autobiographies,1.31,129,Random House,2015,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
335,Brutal Prince: An Enemies To Lovers Mafia Romance (Brutal Birthright Book 1),Sophie Lark,9789441715452,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",4.54,277,Random House,1961,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
336,Brutal Prince: An Enemies To Lovers Mafia Romance (Brutal Birthright Book 1),Sophie Lark,9783283096525,Fiction,Romance,Romantic Suspense,4.54,496,Random House,2023,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
337,Astrophysics for People in a Hurry,Neil deGrasse Tyson,9784666099356,Science & Technology,"Sciences, Technology & Medicine",Astronomy,6.44,148,HarperCollins,2009,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
338,Hidden Pictures: ‘The boldest double twist of the year’ The Times,Jason Rekulak,9785842824179,Fiction,"Fantasy, Horror & Science Fiction",Horror,5.5,367,Bloomsbury Publishing,1974,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
339,"The House of Hades (Heroes of Olympus Book 4) (Heroes of Olympus, 4) [Paperback] Riordan, Rick",Rick Riordan,9782513534656,Children & Young Adult,Children's Books,Fantasy,3.82,90,HarperCollins,1959,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
